model,dataset,trial,inference_time,domain,num_variates,prediction_length,frequency
timesfm2,exchange_rate/short,0,1.4130859375,Econ/Fin,1,8,D
timesfm2,exchange_rate/short,1,0.6238729953765869,Econ/Fin,1,8,D
timesfm2,exchange_rate/short,2,0.6339461803436279,Econ/Fin,1,8,D
timesfm2,exchange_rate/short,3,0.6253767013549805,Econ/Fin,1,8,D
timesfm2,exchange_rate/short,4,0.650576114654541,Econ/Fin,1,8,D
timesfm2,exchange_rate/short,5,0.6476824283599854,Econ/Fin,1,8,D
timesfm2,exchange_rate/short,6,0.7188684940338135,Econ/Fin,1,8,D
timesfm2,exchange_rate/short,7,0.6451530456542969,Econ/Fin,1,8,D
timesfm2,exchange_rate/short,8,0.7222819328308105,Econ/Fin,1,8,D
timesfm2,exchange_rate/short,9,0.6147942543029785,Econ/Fin,1,8,D
timesfm2,exchange_rate/medium,0,0.6608109474182129,Econ/Fin,1,80,D
timesfm2,exchange_rate/medium,1,0.6626675128936768,Econ/Fin,1,80,D
timesfm2,exchange_rate/medium,2,0.6563301086425781,Econ/Fin,1,80,D
timesfm2,exchange_rate/medium,3,0.656447172164917,Econ/Fin,1,80,D
timesfm2,exchange_rate/medium,4,0.6395871639251709,Econ/Fin,1,80,D
timesfm2,exchange_rate/medium,5,0.6528975963592529,Econ/Fin,1,80,D
timesfm2,exchange_rate/medium,6,0.6305351257324219,Econ/Fin,1,80,D
timesfm2,exchange_rate/medium,7,0.6429369449615479,Econ/Fin,1,80,D
timesfm2,exchange_rate/medium,8,0.6382668018341064,Econ/Fin,1,80,D
timesfm2,exchange_rate/medium,9,0.6399211883544922,Econ/Fin,1,80,D
timesfm2,exchange_rate/long,0,0.6617801189422607,Econ/Fin,1,120,D
timesfm2,exchange_rate/long,1,0.6438570022583008,Econ/Fin,1,120,D
timesfm2,exchange_rate/long,2,0.6529264450073242,Econ/Fin,1,120,D
timesfm2,exchange_rate/long,3,0.7808949947357178,Econ/Fin,1,120,D
timesfm2,exchange_rate/long,4,0.628063440322876,Econ/Fin,1,120,D
timesfm2,exchange_rate/long,5,0.6708061695098877,Econ/Fin,1,120,D
timesfm2,exchange_rate/long,6,0.6165649890899658,Econ/Fin,1,120,D
timesfm2,exchange_rate/long,7,0.6179742813110352,Econ/Fin,1,120,D
timesfm2,exchange_rate/long,8,0.6620733737945557,Econ/Fin,1,120,D
timesfm2,exchange_rate/long,9,0.684868574142456,Econ/Fin,1,120,D
timesfm2,ercot/short,0,0.6744272708892822,Energy,1,48,H
timesfm2,ercot/short,1,0.8412351608276367,Energy,1,48,H
timesfm2,ercot/short,2,0.6587660312652588,Energy,1,48,H
timesfm2,ercot/short,3,0.6792643070220947,Energy,1,48,H
timesfm2,ercot/short,4,0.6607215404510498,Energy,1,48,H
timesfm2,ercot/short,5,0.7077226638793945,Energy,1,48,H
timesfm2,ercot/short,6,0.6802945137023926,Energy,1,48,H
timesfm2,ercot/short,7,0.686906099319458,Energy,1,48,H
timesfm2,ercot/short,8,0.6951808929443359,Energy,1,48,H
timesfm2,ercot/short,9,0.7027502059936523,Energy,1,48,H
timesfm2,ercot/medium,0,2.4764699935913086,Energy,1,480,H
timesfm2,ercot/medium,1,2.5077767372131348,Energy,1,480,H
timesfm2,ercot/medium,2,2.5661489963531494,Energy,1,480,H
timesfm2,ercot/medium,3,2.640110731124878,Energy,1,480,H
timesfm2,ercot/medium,4,2.584914445877075,Energy,1,480,H
timesfm2,ercot/medium,5,2.624802350997925,Energy,1,480,H
timesfm2,ercot/medium,6,2.681189775466919,Energy,1,480,H
timesfm2,ercot/medium,7,2.711674928665161,Energy,1,480,H
timesfm2,ercot/medium,8,2.7528228759765625,Energy,1,480,H
timesfm2,ercot/medium,9,2.749849557876587,Energy,1,480,H
timesfm2,ercot/long,0,4.106097459793091,Energy,1,720,H
timesfm2,ercot/long,1,4.052470445632935,Energy,1,720,H
timesfm2,ercot/long,2,3.9950873851776123,Energy,1,720,H
timesfm2,ercot/long,3,3.9334800243377686,Energy,1,720,H
timesfm2,ercot/long,4,3.8808748722076416,Energy,1,720,H
timesfm2,ercot/long,5,3.804093837738037,Energy,1,720,H
timesfm2,ercot/long,6,3.783888816833496,Energy,1,720,H
timesfm2,ercot/long,7,3.785163402557373,Energy,1,720,H
timesfm2,ercot/long,8,3.886522054672241,Energy,1,720,H
timesfm2,ercot/long,9,4.045426607131958,Energy,1,720,H
timesfm2,dominick/short,0,1836.094479084015,Sales,1,2,W
timesfm2,dominick/short,1,1833.5178353786469,Sales,1,2,W
timesfm2,dominick/short,2,1836.0768263339996,Sales,1,2,W
timesfm2,dominick/short,3,1835.8476192951202,Sales,1,2,W
timesfm2,dominick/short,4,1836.541606426239,Sales,1,2,W
timesfm2,dominick/short,5,1834.5543813705444,Sales,1,2,W
timesfm2,dominick/short,6,1833.3021001815796,Sales,1,2,W
